,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
3007,HIST2H2AC,COPG2,TRAF3,MUT,DDIT3,SLC5A10,POLR2C,RP11-242D8.1
3008,BAHD1,GRWD1,MIEF2,RP11-469M7.1,METRNL,DLG4,PIP4K2B,FOXD2
3009,TMTC3,AFF1,ZFP1,EIF4A1,NGRN,LIG3,HERC4,CITF22-92A6.1
3010,RINT1,PIK3AP1,KLHL12,MBD2,RP11-14N7.2,RP11-1079K10.4,C11orf54,RP11-532F12.5
3011,RP11-293M10.5,KCNC3,CD1A,POLR2J,RPP38,AC009133.12,DARS,SLCO4A1
3012,POLR3A,ATF2,BEND2,AGPAT9,IQCE,YOD1,TNFSF8,RP1-223E5.4
3013,CASC3,PDHA1,ZNF441,RP11-542M13.3,RTCA,NLRX1,RPS9,MIR3615
3014,NET1,TMEM184C,TAF15,RP11-66N24.3,FBXL12,RP11-469M7.1,RRP1,ANKRD18B
3015,ACBD4,FPGT,UBE3D,MUS81,CD1C,UNC13D,C12orf76,AC073072.5
3016,TDRKH,ZFP64,RP11-434C1.1,RPS3,RABL2A,GLCCI1,DEDD,DTX4
3017,RP11-383J24.6,UBE2J1,PTER,MAP2K6,THBS1,MSL3,CCDC6,RP11-876N24.2
3018,TOP3A,ZSCAN16,RP11-337C18.8,FOXD2-AS1,GLT1D1,DDX6,MORC2,CECR5-AS1
3019,FBXO33,IDUA,NOL8,PPP2R2B,RP5-1050D4.3,ZNF770,NCEH1,HSPA2
3020,PCNXL3,TANK,DLEC1,MPZL1,AMFR,MGRN1,PPP1R3D,FAM47E
3021,SPNS1,ECHS1,KMT2E-AS1,ATP5SL,PARD6A,TRIM7,RNF26,AC016683.5
3022,C20orf112,STK36,DPP9,CRTC2,B9D2,KCMF1,MRRF,AC110771.1
3023,RGMB,SRCAP,DCAF17,OSER1,MZF1,RP5-1043L13.1,ALCAM,KCNAB3
3024,TRAF3IP2,NBPF20,MTA1,SMOX,TRAPPC2P1,RP11-282O18.3,CDH1,CNKSR2
3025,CRY2,RNF187,ZBTB5,DNM2,KCNA3,SIRT6,C5orf45,C22orf43
3026,SLFN5,TXNDC16,U2AF2,RP11-279F6.3,ZMYND10,RP5-899E9.1,TP53BP2,GPR63
3027,NACC1,HYAL3,SMG6,CENPQ,IQGAP1,SRPRB,CYB561A3,CTIF
3028,MTX3,RNU12,ZSWIM1,BAIAP2,MAEA,RAD51C,DBP,RP4-607J23.2
3029,KHNYN,RP11-884K10.7,FAM86A,GPR18,ZNF276,RABEP1,ZSCAN16-AS1,PHYHD1
3030,SPDL1,MOSPD3,GNE,EDEM1,ELP5,FBXO28,UPF1,CALCRL
3031,MYH3,C17orf58,TRMT12,SEC61G,TMEM55B,ING5,RP11-127B20.3,ZNF541
3032,RP11-379K17.12,POLR3H,SPATA24,ASMTL-AS1,FBXO21,PIGH,PAPSS2,RP11-106M3.3
3033,OXCT1,EBI3,TPP2,MPRIP,TSPAN17,MAPK7,UBE2I,RP11-429E11.3
3034,WDR5B,PPHLN1,ZNHIT2,YY2,EIF2B2,FCF1,RANGRF,PTOV1-AS1
3035,LDLR,KDM3A,MRPL9,PDZD8,TNFRSF9,LPGAT1,RP5-821D11.7,PC
3036,ZNF618,MBTPS1,XBP1,SLC22A17,AP2A1,RP3-525N10.2,GRWD1,FA2H
3037,ZNF260,ARID3B,CTD-2037K23.2,MMS22L,CXorf56,LSMD1,ARHGAP18,C1R
3038,BCL7B,NFXL1,TTC13,ZNF169,EPB41L5,TTC9C,MIEF1,C10ORF68
3039,PARP4,STIM2,RP3-455J7.4,LYSMD3,NENF,CHKA,FASTKD2,EFHD1
3040,GOLGA3,MRPS34,GABPA,MEPCE,ZNF805,ASCC2,CHKB,FGF9
3041,FAM213A,TBC1D13,PSMC2,ZNRD1-AS1,CCDC58,ATP5F1,ATP6V1H,LRRC37A2
3042,COQ7,SESN1,DMTN,LYPLA1,ZMIZ1,C1orf52,EMG1,FRMD4A
3043,ELP6,NNT,CLIP1,FGD3,DCAF7,PLP2,C10orf105,KRT73
3044,TMEM64,PHOSPHO2,ABCB7,KAZALD1,IFI27L1,MRPS24,SPA17,TTC30B
3045,RP11-496I9.1,PLK1,ZNF547,CTD-2336O2.1,PRADC1,CHPF2,GCSH,NUP62CL
3046,LINC00685,GBA2,DCTN4,MTIF2,ZNF784,ELMO2,PSMD10,CTB-129O4.1
3047,RPS27L,ALG12,SPCS3,NDUFA13,DHCR7,CEP89,PPAN,PLEKHA4
3048,ZNF737,RP11-102N12.3,SERGEF,PLA2G16,PIK3C2A,TBC1D7,DYNC1I2,LINC00865
3049,KLHL36,RP11-20B24.5,MYO7B,ABCF3,TMEM156,CRYBG3,FBXL16,PPIL6
3050,GDI1,TXNDC15,CPSF1,C9orf64,TTC27,RBM33,GLYR1,RP11-60I3.5
3051,CXCL3,TMEM43,NBPF10,NCAPH,FAM69A,ANGPTL6,MUC12,SUMO4
3052,TK2,FBRSL1,RP11-468E2.4,COPA,TAF11,NCBP2-AS2,RP5-1085F17.3,RP1-261D10.2
3053,TRIM13,SAMD1,MORN4,AC104532.4,ABHD17B,LMBR1L,RP11-159D12.5,HPD
3054,TIMM9,PDE1B,ZNF141,ARMC1,MALSU1,PTPRO,PSMB1,AC104655.3
3055,AP4B1-AS1,SPAG5,FXR2,RP11-798G7.6,RFC2,ZHX1,PHF14,AP001046.6
3056,VIPR1,SNRNP40,PYCR1,PIM3,TCEA3,ZNF264,ZNF432,RP11-774O3.3
3057,STXBP5,DDX47,TRMT112,POLR3D,COPS4,RHOF,TRAPPC10,RP11-707G14.1
3058,ENPP5,PRICKLE4,RP11-327P2.5,LONP2,TSPAN3,MSH3,RIOK3,AC026471.6
3059,PSD,HDAC11,SPOCK2,RB1CC1,POP7,APOLD1,C14orf159,HSPG2
3060,WBP2NL,PTPLAD1,NUDCD2,DHPS,CUL7,SPG11,C2orf47,TRPV3
3061,RP11-354P11.3,ZNF397,FBF1,CWC15,STAP2,NDRG1,RICTOR,ZNF492
3062,B3GALTL,HTRA2,IFT172,MCF2L-AS1,TCTA,DNAJC3-AS1,ADAMTSL4,ZNF571-AS1
3063,PLXNA1,RAB33B,BTN3A1,KRTCAP3,IVNS1ABP,AP3M1,ASAP1,AP006222.2
3064,SPERT,E2F6,ACP2,BEX2,RANGRF,SLC35A3,RP11-319G6.1,IQCK
3065,TMEM161B-AS1,MLLT3,TADA1,NME2,ASPSCR1,FAM101B,QRICH1,C9orf47
3066,BICD2,DHX32,UBXN2B,ZFP91,UBAP1,RP11-85A1.3,BAK1,CTC-260E6.6
3067,PLCG1,APBB1,HMGCS1,KCNK12,N6AMT1,RNF125,AGPAT6,ESR2
3068,SMURF1,ZNF154,CCL28,CENPM,DYRK1B,AP1M1,ZBTB20,ZBTB8A
3069,ATP8B2,TMEM8B,RP11-473M20.7,SORBS3,TMEM194B,BAK1,AP001816.1,DLL3
3070,PISD,RP3-399L15.3,XXbac-BPG252P9.9,LRCH3,TIMM9,TASP1,INTS6-AS1,BHLHE40-AS1
3071,WRAP73,ZNF212,AIRE,SMEK1,CEP63,SNIP1,TIPRL,TLL2
3072,DPP8,STARD8,RP11-315I20.1,BDH2,ANKRD42,PRKCA,STK40,CTD-2196E14.4
3073,PTGR2,ZFP14,PRR5L,KARS,PPP2R1B,CHCHD3,TRIM14,DCHS1
3074,RAD51D,CDNF,WDSUB1,CDKN3,GPR146,ZMYM4,TMEM192,RP11-297B17.3
3075,SNRK,KIAA0895L,WASH4P,RHBDD3,CDKAL1,CLP1,TMEM106C,OXT
3076,ELAC1,ZBTB43,PITPNA-AS1,ARHGAP31,TNK2,SUOX,BRICD5,RP4-789D17.5
3077,PPAT,DDX39B,JAKMIP1,PAPD5,BRD3,RP11-318A15.2,FAM229B,KLHL32
3078,XIAP,IDH1,TLK2,SLFNL1,RP11-290D2.6,RP11-261C10.3,SEC62,PVRL3
3079,LAYN,POM121C,DEGS2,EPT1,SCYL3,C4orf29,PZP,BMPR1A
3080,TRUB1,ZC2HC1A,NAPSA,CCNB1IP1,AHI1,STOML1,UFL1,LINC01063
3081,TMEM65,SEC11C,CHMP2A,AC113189.5,ALDH3B1,RNF38,POLR3D,SERHL2
3082,ZMIZ1,RP11-117D22.2,MRPS6,SUMF2,TAX1BP3,LLGL2,PTMS,ACTN4
3083,NEDD9,TEX264,OSCAR,KIF20B,RNH1,MICA,DTX3,ZBTB42
3084,DLGAP1-AS1,ZNF513,ZNF182,LINC00526,ETV5,PDS5A,IFRD1,CTD-2260A17.1
3085,POP5,RP11-378A13.2,PRKCE,FASN,FBXO11,TRMT10A,FAM72A,NEDD4
3086,MICU1,TRMT6,LTK,PPP1R18,ZNF22,C1orf53,USP22,RP11-830F9.6
3087,LINC00211,SPATA20,SLC12A6,SLC9A7,NT5C2,C6orf47,MRPS21,RP11-677M14.7
3088,RIPK3,CD1A,TRAM2-AS1,TBC1D24,ANKRD12,GTF2IRD2B,ABCF1,RP11-314N13.3
3089,TRIM62,THOC5,RP1-28O10.1,KIF21B,BEND5,NTHL1,NBPF9,MXRA7
3090,TUG1,AC099850.1,ZC3H10,RPP38,WEE1,RNF122,IDH3B,RP11-252C15.1
3091,TUBD1,TUBA1A,ZNF780B,CEP72,HIRA,ZRANB2,TMEM138,RP11-356C4.3
3092,ATP1A3,FRAT1,RPA4,KCTD2,C12orf23,TSPAN3,SLC9A6,RASA4B
3093,DDX26B,A2M-AS1,RRM2B,TUBA1C,ST8SIA4,SCARB2,UBASH3A,RP11-160H22.5
3094,KLHL15,NIPAL2,FAM206A,PEX16,NT5M,PELI3,IVD,CELSR1
3095,CRAMP1L,ZBED4,HIPK3,CTB-58E17.1,PNPLA8,RP3-402G11.26,HOMER2,SLC6A4
3096,F12,PPARD,DYRK1B,ARSB,DMD,SLC6A12,JHDM1D-AS1,FKBP9
3097,FAM195B,ECI1,HIF1AN,DNAJB2,FLJ27365,C11orf57,H2AFY2,RP11-580I16.2
3098,ZNF721,CD40LG,ICAM3,DERL2,HELLS,CASP7,TSR3,TRAIP
3099,PLEKHG5,CENPB,SHKBP1,RPS4X,ZBTB6,PSMD3,SAV1,ACAD11
3100,MAPK8,RP11-159D12.2,MAP3K8,ZNF646,BRAF,CDV3,PRR14L,C17orf51
3101,TWF1,RIPK1,CEP89,MAT2A,ZNF236,NUP188,MRPL39,VPS9D1-AS1
3102,PJA2,SCAI,FANCA,OSBPL3,TMEM200A,ABL2,PELO,CYP2D6
3103,ANKRD36,CROT,ASMTL,TICAM1,GORASP2,CEP44,ADA,FAM228A
3104,CES4A,TANC2,TFEC,SSH2,B3GALNT1,OGFOD3,PLEKHB2,RP11-362F19.3
3105,MPG,ADAT2,ZCRB1,KLC4,SLC19A1,ZNF780B,FOXP4,DPEP3
3106,EAF1,LL21NC02-1C16.2,TNPO3,ZNF404,ABRACL,KLHL2,PPM1J,NRCAM
3107,SCAMP3,IPO4,RPL39L,GBA,ZC3H15,LGALS8-AS1,DCLRE1B,TMOD1
3108,CTC-534A2.2,PTPN23,EZH1,ZCCHC18,DSC2,TMEM129,PTPLAD1,TULP2
3109,NAAA,TRPM2,ZFP62,HOXB2,DAP,MRGBP,SECISBP2,RP11-600F24.7
3110,DIABLO,CDKN2A,HEMK1,FKBP9,MLEC,WIPI1,CDKL3,SNX10
3111,GOT1,GPX3,AC022182.3,TM9SF4,POLR1B,IRF2BP1,TMEM71,SAMD12
3112,TRIM46,PAXBP1-AS1,ZNF549,STX6,C14orf28,ZNF582-AS1,ACO1,GLIPR1L2
3113,SPPL2A,NMUR1,FKBP3,C6orf120,SF3B1,PRKRA,PRPS2,PNMA3
3114,TSNARE1,C12orf49,CYCS,METTL6,MAD2L1BP,RANBP3,MKI67,RP11-157J24.2
3115,PDSS1,SGTB,CDYL2,C11orf84,ZNHIT6,B4GALNT3,FLNB,FCGBP
3116,C1orf85,DHX36,PDZD8,KIAA0020,TMEM60,RP11-867G23.4,AGO4,RP11-305K5.1
3117,CLDN12,MSTO1,SCFD1,ELP3,NTAN1,NIN,PPP4R1L,SMTN
3118,ZNF586,ADAM9,TRMT10B,TTI2,MFAP1,CTD-2256P15.4,C6orf226,AE000662.92
3119,MTHFD1,PDXK,KCTD7,MYCBPAP,GOPC,AP4E1,RP11-111A22.1,AC116614.1
3120,RP11-582J16.4,SCAMP1,RP1-8B1.4,DBN1,PNRC2,DCTN5,HERC2,RP13-270P17.1
3121,RP1-90J20.12,MRS2,IER3IP1-1,NIPAL3,GIPC1,KLHL42,SPATA5,SLC2A1-AS1
3122,ZNF174,PTBP3,ADCK5,ING2,ELOVL6,SMAD4,JAGN1,CENPU
3123,TMEM30A,CDKN2B,COQ3,RP11-727F15.12,RAPGEF6,STK32C,NUDT22,CTD-2666L21.1
3124,TXNRD2,AC000003.2,MIR497HG,ILVBL,PITRM1,NCOA5,NAT14,FAM178B
3125,ZDHHC3,NDRG3,MDFIC,HIST1H2AM,MICU1,BRI3BP,ATF6,RP11-163N6.2
3126,UBB,SMC2,XYLT1,POFUT1,CWC15,TBC1D14,AKAP1,RP11-502I4.3
3127,OTUD4,DHRSX,LRCH3,RLF,SRM,CHN2,METTL1,ITGA1
3128,ITFG1,MCTP1,RP11-490O6.2,ALDH18A1,FBXO5,TMEM185B,RASD1,PEX12
3129,PMS2,PPP1R35,C12orf10,UCP2,C12orf42,COIL,CHPF2,PLEKHJ1
3130,SLC27A1,SLC44A1,RPH3AL,ALG12,LPAR2,PGM3,ARMC5,LRRC16B
3131,TMEM140,TMSB4Y,RWDD2B,NDUFB4,SSBP2,MKL1,PHF3,WNT16
3132,ELAC2,MARVELD1,AC097500.2,DENND4B,RAD51AP1,NID1,RP11-145M9.4,CERCAM
3133,RWDD2B,WNT10A,LARS,LONRF1,TUSC1,CD38,SLAMF8,RP11-83N9.5
3134,MAST2,GRIPAP1,TTTY15,KIAA1191,RNMT,POR,RP5-914P20.5,RP5-930J4.4
3135,TIPRL,ANXA11,LIMK1,PRR5L,WDR48,RAB7L1,HS3ST3B1,ZNF620
3136,PFKFB3,TNFRSF12A,SEMA4A,RP11-169D4.2,ANO10,KIAA0247,DNAL4,DNAJC28
3137,C4orf27,SRF,SIPA1L1,FAM159A,SUSD1,UBE3B,EMC1,RP11-92K15.3
3138,TBC1D30,KBTBD4,COL18A1,CA11,YTHDF1,MAN2A2,SDHA,PCSK4
3139,SCIN,ZNF300,GTPBP3,RP11-386G11.5,SHC1,EVI2B,AC006129.4,POLE2
3140,SETBP1,RP11-327P2.5,RPL4,PPAPDC2,AC026202.1,CEP97,CHM,RP11-755F10.1
3141,FAM171A1,SAP30L,ZNF484,CAPN15,HS1BP3,SLC38A5,RNF31,LRRC56
3142,PADI4,NBPF15,TSC22D2,BEX4,NEIL1,KCNN1,SNRK,IFITM10
3143,C3orf14,EXOC3,JHDM1D-AS1,NSF,SGOL2,MIR4453,KLHL7,KRT2
3144,CLEC11A,RP11-589C21.5,RP11-485G4.2,CTNS,DCAF11,SETBP1,TRPS1,RP5-884G6.2
3145,SNIP1,ATP11A,AC061992.2,KIF5B,VPS52,ACD,PMP22,FAM167B
3146,MYOF,ENDOD1,ZSCAN31,LRIG2,ANKMY2,FANCB,FAS,STEAP1B
3147,ATRIP,GPR42,NOC3L,MOCS3,CPSF6,AP1B1,IQCH-AS1,GATS
3148,RP11-467D6.1,GTPBP2,CWC22,OSBP,IFNL1,GPR162,PVRL2,UNC45B
3149,CTD-2630F21.1,VPS37B,TMEM251,CTSA,RP11-390F4.3,RCN1,EP300,BCL2L15
3150,RP11-267N12.3,N6AMT2,INTS7,ZNF821,WDR70,SASS6,PCMT1,RP11-381K20.2
3151,INVS,HUWE1,MOSPD1,SLFN5,MYOM2,LBX2-AS1,C3orf62,AC011747.4
3152,ZNF738,MYSM1,ORC6,RP11-393I2.4,GTF2H4,TMEM126A,ACTR1B,CTD-2541M15.4
3153,CIAPIN1,KCNE1,LXN,GPBP1,NDUFB1,KIF23,TMED8,PKD2L1
3154,PHF23,TRMT1,ANAPC13,MAPRE3,CHP1,GPSM2,RP11-214O1.3,PLGLB1
3155,RP11-52J3.3,UPRT,FAM122C,RALGAPB,CNOT6,RAMP1,TIFA,CTD-2410N18.3
3156,DDX3Y,CANX,GFOD1,AP5B1,ZNF548,PKIB,PLTP,RP5-1112D6.4
3157,ZSCAN9,PI4K2B,CBR3,AARS,HDAC6,FAM199X,RP11-58E21.3,RP11-156K13.3
3158,RPS10P7,RMDN2,RBAK-RBAKDN,MTPN,SLC4A4,KRBA2,WDR48,RP11-342I1.2
3159,ARL6,HEXA,SGCE,ME1,MFSD3,ZCCHC3,EEF1E1,KRT23
3160,RNPEPL1,RP11-473I1.5,ACADSB,CNOT3,BLOC1S6,ZNF701,ABLIM1,FAM167A
3161,ZNF678,TWF1,PRKAB2,CCR6,RAD51,GTF3C6,RASA2,ADAM22
3162,SMPD3,TGIF1,GRAMD4,ZNF653,CPSF1,SRGAP1,ZNF563,CABP7
3163,HCAR2,FZD3,HSPG2,KLC1,SYNGR2,FAM134B,M6PR,RP1-257A7.5
3164,TRAF1,HELQ,CEACAM21,DPYSL2,FAM127A,NEDD8,HTR3A,C5orf27
3165,SFT2D2,C2orf81,ELOVL4,PSMB5,HHAT,UEVLD,ZNF362,CTD-3064H18.1
3166,CISD2,DNAJA4,PRRT3,SEPSECS,PYGM,VNN3,AAR2,RP11-13P5.1
3167,P2RX1,ZBTB48,RP11-755F10.1,RP11-4F5.2,CARD11,SLIRP,WDR77,RP11-588G21.2
3168,PRKX,MYNN,NEDD1,PRIMPOL,ILVBL,PLVAP,BRF1,CTC-518P12.6
3169,UBFD1,AHR,TARSL2,RRAGB,METRN,RFWD3,C10orf54,HSF2BP
3170,CISD3,VARS,SPINT1,MED25,KB-431C1.4,ETV7,SFSWAP,ZMYM6NB
3171,USP37,PSMC3IP,TACC1,URB2,DENND1C,PAQR4,MKL2,PPIP5K1
3172,ADCK3,GS1-393G12.13,SLC6A16,TRMT1,LRRC16B,DPH5,NRIP1,SCRG1
3173,CWC15,C22orf34,RP11-492E3.2,AP000442.1,BCAP29,RP11-446N19.1,RNASEH1-AS1,ZNF486
3174,MEMO1,ISYNA1,RP11-219B17.1,KCNQ1,NDUFB6,PNPLA4,RTN4,BCL2L14
3175,LONP2,NCAPG2,PPDPF,SLC25A42,C19orf83,C12orf76,SOCS3,RP11-558F24.4
3176,ASL,LCMT1,MTMR10,PRR24,SFXN4,C11orf95,SMPD2,RP11-423H2.3
3177,DYNC2H1,JTB,CLEC17A,FAM53B,PHLDA3,ACOT8,PRR14,ZNF502
3178,TAF1B,SLC36A1,ECH1,MIF,COQ10B,MAD1L1,S100A6,DNAJC27
3179,NAGK,AMER1,MYOM1,CLU,MDM1,ELOVL3,ATG4C,CTD-2353F22.1
3180,ETAA1,GPRASP1,TMPRSS11E,TECPR2,P2RY8,SLC9A8,LRRC42,SLC35F3
3181,THOP1,PCED1A,POLR2J3,ZNF286A,EDC3,ICK,ATG4D,RP11-1299A16.3
3182,SS18L2,SEL1L3,COPG1,PDE6B,GLYR1,NOP58,AC079922.3,AC099850.1
3183,ASB13,RP11-309M23.1,PAOX,LINC00925,CCDC142,CYP2S1,RIOK2,RP6-206I17.1
3184,SECTM1,NETO2,EAPP,RP11-111M22.3,ZFYVE26,FAM127A,C6orf62,RP1-100J12.1
3185,RUFY1,RRP1,CA11,CSRNP1,MCTP2,PGAP2,PIK3R2,CRIM1
3186,MDM1,C9orf139,PLD4,RP11-872J21.3,TPCN1,ZNF426,FXR2,RP11-439L18.2
3187,PRR12,EIF4G1,CTC-260E6.6,TNFRSF21,RGS3,PIN4,ZNF100,TPBG
3188,MT-CYB,CBX4,C8orf44,SMG1,UBIAD1,GSR,HSPBP1,SERPINB2
3189,ZNF234,LARS,KIAA1468,GRN,CFL2,CCDC137,SSX2IP,RP11-91G21.1
3190,MYB,INTS6-AS1,INPP5F,TMEM8B,C2CD5,AP3S2,PPOX,CTC-444N24.6
3191,ANKEF1,RP5-827C21.4,MYO1E,ARHGEF11,ZNF808,AC062029.1,GDE1,SLC4A5
3192,ZXDA,SUMF1,SPATA2,SRSF2,PRR24,KIAA1147,RPS23,PILRA
3193,OSTM1,MRFAP1,PHF12,PEX1,SEMA4C,CARKD,EEF2K,VSIG2
3194,BTD,RPP21,TMEM186,VSTM1,PLOD3,RP11-262H14.4,MATR3,LRRC24
3195,MBTPS2,ZNF274,MICB,SNX18,AC010761.8,ZNF420,SMUG1,RP11-342M1.3
3196,TIMM10,ATP8B4,TBL3,KISS1R,DMXL1,ATP5SL,CYP4V2,LINC00562
3197,CACUL1,ZNF219,CTD-2544N14.3,A2M-AS1,NAA16,TXNDC17,ACY1,RP11-403A21.1
3198,HPRT1,RP11-326F20.5,DYNC1LI1,UPF1,FXYD7,PPP1R32,RP11-215P8.3,CTB-102L5.4
3199,CCDC30,TOMM22,OXSR1,FAM192A,PLCXD1,CCT5,SEPSECS,ABTB2
3200,RP11-532F6.3,HN1,AP4B1,ALG1L,RP11-218M22.1,KIAA1731,ATG9B,BNC2
3201,OBSCN,PCBP1,FAM63A,MTHFD1L,KIF3C,RP11-420G6.4,AP1M1,RP11-1055B8.4
3202,GSTM4,TMEM65,NFKBIB,GUCD1,PDHA1,ETFA,NOP58,RP11-390F4.3
3203,NRF1,CCDC157,STX16,RP11-214O1.3,CCDC51,NMNAT1,VILL,NPR2
3204,TAOK1,CBY1,RNF169,WIPF2,LGALS4,CEBPZ-AS1,CTD-2562J15.6,CTA-14H9.5
3205,ZNF217,SLC9A3R2,LANCL1,TMUB1,PLK2,DDX10,TMEM220,CUZD1
3206,PPFIBP2,SPCS3,RP11-977G19.11,PICK1,GAREML,LETM2,LACTB,CTD-2555C10.3
3207,H1F0,AL441883.1,WDR45B,MADD,MOGS,ZNF211,RP11-206L10.2,C10orf111
3208,CEP44,TTLL3,SCO1,NR2C2AP,VAV3,TPD52L2,NTHL1,FITM1
3209,ZYG11B,TBC1D2,RBM43,CCDC34,PMPCA,PELI2,TTC27,NIPSNAP3B
3210,TBL1X,RNASEK,ILF2,ZNF197,PARP6,BRD1,CYB5D2,VPREB1
3211,PIK3R4,GTF2H1,RINT1,LPP-AS2,STK40,CNDP2,TCF3,LGALS4
3212,GGCT,RP11-809N8.4,OPA3,KIAA1211L,TIPIN,POLA2,CTD-2270L9.4,RNF32
3213,RBM48,FAM168A,DUSP5,CCDC137,COX14,TMEM237,POLR3F,RP11-713P17.3
3214,RC3H1,AC018755.1,PSMC3IP,SERBP1,RNF19B,BAZ1A,C14orf166,RP11-456D7.1
3215,NBPF3,MYO1C,MTX1,SLC26A2,KCNAB2,EPS8,UTRN,PARM1
3216,AC015987.2,RP11-468E2.5,APOL1,TLR3,LINC00299,DUSP18,ANKRA2,RP11-161M6.3
3217,AC079305.10,HRAS,ZNF790,ALDH7A1,FBP1,IFT46,SH3D21,LRRC20
3218,OTUD3,SMU1,SYNRG,FXR2,LINC00996,SORL1,SDR42E2,AC009473.1
3219,DOT1L,ALS2CL,PPIE,RBM12,GABARAPL2,LPAR6,SRFBP1,POLN
3220,FAM118A,TIPARP,CTC1,GTF2H5,POLR2G,TRAF1,DAGLB,RP11-42I10.1
3221,NPIPA5,SMG1,KDM1A,ZNF576,TTI2,GPCPD1,TAB3,RP11-138I18.2
3222,SAMD4B,MORC2,KB-431C1.4,LETM2,STK35,RP5-1065J22.8,MACROD2,NXPH4
3223,UVSSA,TSPAN2,WBSCR16,POFUT2,TBC1D31,DCLRE1B,URI1,EPM2A
3224,LIN9,ZNF764,HLA-B,HPSE,ARHGEF6,ZNF667-AS1,QRSL1,KRT86
3225,PPP1R16B,ZNF287,TOR1AIP2,RP1-223E5.4,USP32,TMEM44-AS1,CTDSP2,ANKRD34A
3226,HIST1H3A,PAFAH1B3,RP11-484K9.4,S1PR5,ZNF143,TMIE,PLEKHA8,RP11-302B13.5
3227,TAF1A,WHSC1,MED31,GALK2,YEATS4,FAM129C,KIF2A,KDELC1
3228,HMG20A,RANBP9,ARL10,VPS9D1-AS1,DENND5A,CNRIP1,VARS,CD1B
3229,DOK3,AL139099.1,ATP8B4,C5orf34,RNFT1,CCDC24,SLAMF7,VAV3-AS1
3230,PSMD7,RP11-1191J2.5,SLC35B3,HIST1H2BC,PIGO,DNAJC3,CCDC96,ZNF252P-AS1
3231,MDK,MAML3,AP003419.16,PELI2,RANBP6,SWT1,KIAA0141,ZNF433
3232,RNASEL,CCDC149,ZDHHC23,MAPKAPK2,CHKB,FDX1L,KIAA0825,GNA11
3233,RPEL1,VTI1B,FCRLB,CSAD,GOLM1,PRKACA,RNASEH2B,RP11-438L19.1
3234,SHROOM1,C2orf74,RP11-452L6.7,NSUN6,KIAA1033,MICAL3,PSD4,FAM151B
3235,C2CD3,SRSF10,CRY1,CES2,MRPS25,INPP4B,KIAA1033,ZNF239
3236,IL10RB,TFE3,CLDN7,EI24,WAC,DNAJB2,TSPAN17,RHOD
3237,RP11-298J20.3,ATXN2L,SLC25A4,MED1,DAPK1,TNIP2,EPS8,RP11-407G23.3
3238,PYURF,PRKCZ,SDHC,ANKRD16,SUPT20H,ACSL5,LLPH,PTPRM
3239,GBP4,XPO1,POC1B,IER5,LRSAM1,CD58,PSMA6,DPF3
3240,TLN1,TAGAP,PINK1-AS,SVOPL,RPAIN,PPP2R3B,XXbac-BPG252P9.9,STXBP1
3241,PACS2,TIMM50,ZDHHC4,ZFP1,DOLPP1,CCNG2,C4orf36,ZNF57
3242,APC,KPTN,CTB-133G6.2,MDC1,ERAP2,SPAST,IRF2BP1,RP11-420A6.2
3243,SYS1,AVL9,C1orf122,FAM131A,STAG2,EDARADD,SLC15A2,RP11-793H13.10
3244,RP11-473M20.14,SLC23A2,SREBF2,TRNT1,LGALS3BP,ATP6V1E1,SERTAD2,APBB2
3245,RAB3IP,AC116366.6,DPYSL2,POMGNT1,TCF4,APPL2,PGBD4,CLIC5
3246,GRIPAP1,STXBP1,HYLS1,RNF144A,CBY1,IRF3,NOP2,TMEM262
3247,ADAR,RP11-422P24.11,SLC39A11,C6orf229,KIF2A,RPS27L,ZNF383,SOX13
3248,AGMAT,RP5-943J3.2,SIDT2,CELSR2,TTC22,TATDN3,CBX6,COL4A3
3249,RPL36AL,S100A10,PCGF3,TSPAN18,MMD,DBR1,SEC61A2,IGSF9B
3250,CRYL1,SLC31A1,ACOX3,MSMO1,DRAXIN,H2AFJ,TRIQK,JARID2-AS1
3251,HIST1H2BJ,SEC23A,ARCN1,POGK,CTC-378H22.1,DYNLT3,TMEM258,ANKRD34B
3252,AC027307.3,RASSF1,RP11-464F9.20,RP11-110A12.2,PTK2,GGA2,NME3,RP11-275I4.1
3253,RWDD3,SDS,NSUN2,DENND3,MAPKAP1,ZNF302,AC015987.2,RP11-361D15.2
3254,ERF,FAM198B,PRKX,OSER1-AS1,TMEM33,DAPP1,IKBKG,BGLAP
3255,CD300LF,GNE,TRIM25,RTN3,ZNF296,RAVER2,CCT7,ZNF300
3256,GREM2,VPS9D1,AC018816.3,STK38L,KHSRP,NRROS,NDUFAF5,RASAL1
3257,NOG,XRRA1,LRRC69,HSBP1L1,FAM76B,DEF6,IFNG-AS1,RP11-661A12.5
3258,DISC1,RANGAP1,LIMA1,GMNN,LASP1,CTD-2537I9.12,C10orf76,PPP2R3A
3259,TRAF6,SDK2,C19orf55,ACVR2B,RP11-693J15.5,COG5,BCKDHB,CTRL
3260,HIVEP3,KISS1R,POLE,KLF16,TCF20,RP11-351I24.1,TPRG1L,CKM
3261,TIAM1,ARAP2,RHOT1,STYXL1,MFNG,RP11-611L7.1,TOX2,L3MBTL4
