,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
4735,BASP1,UBE2W,WDR66,COCH,ANKRD52,ZNF579,ZNF32,DDX18
4736,IL12RB2,PROC,FAM21A,GNPDA2,ZNF175,ZNF726,C5orf30,RP11-488L18.8
4737,TVP23C,ZNF664,USP32,ATE1,MRPL32,ZNF365,NFU1,BEST4
4738,RP11-558F24.4,PLA2G15,HIST1H1E,SACM1L,DOK6,GANAB,MFSD10,AC069363.1
4739,CTB-113I20.2,BTBD10,GOLGA8A,SNAP29,MAPKAPK5,DNM1L,B3GNT2,NRBP2
4740,CXorf56,TMEM209,RP11-728F11.4,CTB-43P18.1,IRF2BP2,AKAP17A,CUL7,NPIPA5
4741,GGH,SPERT,ERBB2IP,PBXIP1,EIF4E2,TUBD1,LARS,AC007383.3
4742,SLC15A4,ST7L,USP36,DUSP19,COG8,GS1-124K5.3,TMEM181,RP11-446E9.2
4743,ABCA2,ITGA1,TMEM234,UBASH3A,PCED1B,RP11-338C15.3,MAP7,NID1
4744,LRFN3,RP11-809O17.1,AK9,MBNL3,NHLRC1,RP11-1407O15.2,TNIP1,COLGALT2
4745,SLC27A2,FAM120C,SMARCAL1,AGAP3,COG4,HSD17B7,CLPTM1,DNAH6
4746,DDOST,DENND6A,NUGGC,NABP1,CDK12,ANKRD36C,MRPL52,CNN3
4747,RP5-886K2.3,RP1-187B23.1,KARS,AC007383.3,TRAF6,RP11-57H14.2,MAP2K3,RP11-179B2.2
4748,RFPL2,RGS18,DTX3,PAPL,ZNF16,C3orf52,ZNF232,VEGFA
4749,ST6GALNAC1,FGFBP3,ZNF830,L2HGDH,NHP2,KIAA1919,DDX20,VSIG4
4750,AP001462.6,RP11-456D7.1,RTTN,PLEKHO2,SENP2,DST,DNAJC21,DGAT2
4751,H3F3C,CSRP2BP,RP11-420A6.2,NR4A3,EVA1B,ZNF652,CNTRL,HP
4752,C9orf37,PRKAR1B,GBE1,LRP1,PHACTR4,RP3-402G11.25,HSDL1,HIST1H2BG
4753,RP11-649E7.5,PPP4R1,CTB-114C7.4,OGDH,ARFIP1,DIABLO,ACOX1,MINOS1-NBL1
4754,RP11-448A19.1,FAM218A,LINC00954,RRM2,UPK2,WDR36,SUDS3,TTC26
4755,RP11-318A15.2,TRIM2,RP11-656D10.3,FAN1,ZNF135,CTD-2012K14.6,PIP4K2C,RP11-498P14.5
4756,GALNT12,CTC-338M12.6,NAPEPLD,BTBD10,PTAR1,C11orf30,UBE2L3,SERAC1
4757,RP11-415F23.4,SYP,ZNF134,RECQL,EIF2AK2,SULT1A4,TPMT,TNK1
4758,DUS1L,RABL3,TAB1,DIMT1,ANKRD40,MTF1,RAD54L2,ZSWIM4
4759,RP11-817O13.8,SLC35B2,SORBS1,ZNF3,NIT2,RP11-274B18.2,SPG20,CTD-2287O16.5
4760,SLC10A1,ZNF93,SGCB,KMT2B,HSF2BP,KDM4A,PVR,BTBD3
4761,ARFGEF2,ANKRD27,CPD,RPS17L,LRRC27,IFT81,GIPC1,TMEM88
4762,GSTM1,AMN1,HSPB11,WDR3,NRBF2,LRPPRC,SMEK2,EIF3C
4763,BOLA3-AS1,MARCH5,RP11-588G21.2,DTX3,PIH1D1,RP11-417F21.1,SLC35E4,KIF3C
4764,KIF16B,NUDT5,KCNN1,RUSC1,EPB42,FBXL14,PRPF38A,ZNF627
4765,PHLPP2,DFFB,ISY1,PAXBP1,DYNLL1-AS1,ARMC5,SRCAP,CCNE1
4766,CAPS,RP11-727F15.12,MGAT5,PAM,ZNF165,ZNF789,SCARA5,ARHGAP33
4767,P4HTM,LEAP2,ABHD1,SERINC4,RPP30,APPBP2,KLRC4,NOL3
4768,PCSK4,XKR8,CTB-133G6.1,PSRC1,MAD2L1,ATP6V1C2,APOLD1,CTB-55O6.4
4769,MAP1B,ZMYM6NB,MTERF,POMT2,CSTF3,TBCK,RNF43,CTD-2031P19.3
4770,NDUFS4,SLC1A4,SCMH1,RAE1,PPIL6,AC132872.2,OXSM,GMPPB
4771,OTUD7A,RIPK3,MNT,MAP1S,RBM45,CEP135,CHID1,EFCAB13
4772,RP11-307C12.13,VMAC,IQCK,GUSB,DCUN1D2,CTD-2583P5.3,RELA,ELOVL3
4773,EFCAB2,RP11-91G21.1,CYP2D6,ZNF696,ZNF618,CLK2,WDR44,ZNF154
4774,ISOC2,RP11-575L7.8,RP3-508I15.21,RP11-95D17.1,KDM2B,BRD3,YIPF5,PDE1B
4775,ZNF70,C19orf68,HEATR3,KIAA1009,KBTBD2,WDR7,CCNT2,INCENP
4776,KIAA1430,MORC4,PAFAH1B3,P4HTM,AGER,MATR3,STK35,RP11-16E12.1
4777,CCDC22,TPP2,RGS9,EDARADD,CAB39L,RP11-227D13.4,LARS2,HIC1
4778,NTAN1,ZNF512,RP11-798G7.6,SAMD4A,IL1RN,KLF12,C19orf35,LL22NC03-86G7.1
4779,PNMA3,HSP90B1,MCCC2,TRIM58,RNF31,TUBGCP5,GIGYF2,RP11-338I21.1
4780,HIST2H2BE,CUL7,ZBTB22,TTC30A,ZNF107,EPG5,RNF145,DDO
4781,EID2,MRPL46,C12orf60,ZNF470,EMC9,CTD-3131K8.2,AQR,RP11-79P5.9
4782,CTD-2537I9.12,DDX51,PDCD6IP,RP11-661A12.7,MSL1,NPLOC4,RNLS,RP11-432J24.2
4783,C15orf39,B4GALT1,CTD-2215E18.1,ZFP14,ACSBG1,N4BP2L1,MMP9,KIF19
4784,ZBTB48,FRS3,CTD-2287O16.5,GS1-251I9.4,CEP250,HYKK,MSH2,HIST3H2A
4785,DLGAP1-AS2,RP11-73E17.2,RPS6KA2,APEX1,CHCHD6,TRMT5,RNF144A,RP11-426L16.3
4786,RP4-803J11.2,ERC1,PPP1R12B,FYCO1,CHORDC1,ARL6IP6,SMYD4,PEAK1
4787,SPRYD4,LRRC3,BMP2K,GTF2F2,SNRNP48,SYAP1,KIF21A,LCNL1
4788,AC005253.4,NPIPB4,ZNF821,C2orf68,NDUFAF6,ZDHHC21,CXCR6,PSMG3-AS1
4789,NOC3L,HTRA1,CTA-384D8.36,CENPN,USP46-AS1,PLAGL1,E4F1,CTD-2035E11.5
4790,CA6,RWDD3,FAM219B,PDE8B,BCL2L14,RP11-54O7.11,CTC-246B18.10,CTTNBP2NL
4791,SLFN13,RP11-861A13.4,ZNF665,C10orf111,APOA1,BBS7,GMDS-AS1,RP11-385D13.3
4792,AC022182.1,CMC4,LOH12CR1,RP11-284N8.3,KAT2B,CBX2,CORO1B,TNFRSF21
4793,HIST2H2AC,KLHDC7B,CKAP4,CTC-246B18.10,TYW5,ACACB,JOSD1,PTPN2
4794,ASB9,ACTA2,CCHCR1,ZNF18,RENBP,B3GAT2,AC016586.1,FBXO2
4795,C11orf83,FADS2,SEC24B,RGS19,SEPT2,AC062017.1,ADCK4,FAM169A
4796,FAM229A,ANKAR,DEXI,TTF1,SARM1,SLC10A7,EYA3,SLC16A1-AS1
4797,PLXNA3,ATG9A,TMEM199,DTNB,SEC23B,LMOD3,RAPGEF2,MYO1D
4798,CFH,ZFYVE16,RASSF1,FCHO1,UBXN10,NFATC2,FAM189B,KIAA1324
4799,SETD9,CLTC,CCNA2,RP11-79P5.9,DPY30,FAM229A,SETD9,LINC00893
4800,MAVS,SNX8,RP5-935K16.1,MYSM1,PAF1,KIF9,SMAP1,GPR153
4801,BRICD5,RP11-434H6.6,DNAJC27,ZFP62,SLMAP,LINC00910,ZNF236,ABCB4
4802,ZNF598,CLSPN,AC002116.7,EPM2A,ZFP3,MYLPF,TMEM185B,POLA1
4803,KLHL32,OGFRL1,RP11-214O1.3,CLDND2,EDEM3,CTB-129P6.4,FAM73B,LARGE
4804,NUDCD1,CXorf56,IKZF2,DOCK7,RARA,C12orf23,DBNDD1,CASK
4805,SMIM15,MSS51,THG1L,EP400,PSMD14,PTGS1,RP11-582J16.5,ZBTB32
4806,FAM153B,RNF219,ASF1B,WDR76,HECTD3,DHDH,MLST8,CYP1B1
4807,PDE6D,AKT2,RP13-516M14.1,OIP5,TMEM27,ACTL10,AMIGO1,AMACR
4808,RC3H1,FUT10,USP3,CAT,CERCAM,GPR61,TMEM163,RAB1B
4809,ARL11,MYO15B,MTFR1,MSMO1,AP4B1-AS1,ZFP91,NLRP2,RP11-867G23.4
4810,BCAP29,PTPDC1,TTC21B,ATP6V1C1,RNF157,IFT172,TSPYL1,GDPD3
4811,PWWP2A,RP11-1299A16.3,ZBTB41,AC009120.10,IQSEC2,TTL,SCIMP,ZMAT4
4812,ZNF444,RP5-1068E13.7,AC097713.4,NPR2,DLEC1,CPEB4,PPP1R37,RP11-573D15.9
4813,NAT6,CARF,HUWE1,CTC-273B12.10,RP11-46C24.7,THOP1,HYAL2,CTA-204B4.2
4814,C1orf200,ASB13,TAB2,ZNF57,SPATA2,RP11-158M2.3,FAM136A,ZNF443
4815,DENR,ZBTB44,TRAF4,EPHA4,CXCR2,TOR2A,MAPRE2,TIGD2
4816,GUSB,CTD-3088G3.8,LINC00663,RP11-517I3.1,ZNF577,FAM126A,RYR1,CNTNAP2
4817,IFIH1,TRIM44,RP1-140A9.1,SPTLC1,ZNF205-AS1,FUK,MRPL42,MRVI1-AS1
4818,CNTLN,KIFC3,C10orf35,ATF1,LINC00115,AP001058.3,RP11-10K16.1,HIST1H3A
4819,NLGN4Y,CTC-524C5.2,MRPL11,KCNG1,MACROD1,OXLD1,MKNK2,FOXP3
4820,HSD17B14,ACSF3,BUB3,CBX5,FAM13A,RFX7,DNPH1,MGMT
4821,JDP2,SDR42E2,CASP7,ZBED1,RAB5B,RP11-661A12.7,TLR6,LINC01013
4822,NOL7,RP5-1136G13.2,TRIM21,RASGRF2,IGLL5,ZNF174,B3GALT6,RP11-1007O24.3
4823,HEATR1,SLC35A3,AC074117.10,ZNF860,SLAIN2,PET112,CREB5,RP11-398K22.12
4824,MLLT4,ZGPAT,ZNF10,SIRPB1,JPX,CTB-12A17.3,SAP130,FBXL14
4825,BDNF-AS,TRPM7,RBM26-AS1,C11orf82,C1orf43,RNF26,PIGZ,NEK11
4826,RP11-254F7.2,AC131097.3,TMEM117,ZBTB26,FAM21A,C12orf61,SLC12A6,LRRC1
4827,CMIP,PTPLA,RP11-309M23.1,SSSCA1,RP1-265C24.8,GALE,PI4K2A,ARHGAP5-AS1
4828,C22orf29,SPESP1,NONO,ZNF799,C5orf15,WIPF2,CCDC138,MAP3K10
4829,IKZF4,TMEM220,RP4-610C12.3,PARD6A,PTGR2,FBXO45,PRR3,SLC9B1
4830,PTGES2,PRSS23,CTB-118N6.3,RP11-554J4.1,LDOC1,PSMA7,ZDHHC18,CDK3
4831,RP11-452L6.1,PNMA1,EFCAB13,TNFRSF8,TMEM38B,RP11-589C21.6,EMR3,GKAP1
4832,SNX33,C1QTNF4,ELP4,FRMPD3,ARHGAP10,SS18L1,OSBPL11,TAPT1-AS1
4833,CPA5,UBASH3A,CCDC121,EHBP1L1,CCNDBP1,TNK2-AS1,MAT2B,PPT2
4834,ZNF226,GLCE,RP11-77H9.8,TMEM38A,TRAF3IP1,SEMA7A,CCDC71,RGMB
4835,ZNF165,PEX2,LRP6,CCDC22,SLFN5,RP5-1148A21.3,ZNF618,ZBTB6
4836,VPS33B,FGFR1OP,RP11-111J6.2,ALDH5A1,C17orf103,LSM11,AC142528.1,PTGS2
4837,LRRC58,FLVCR1,ZNF382,PRPF40B,GPT2,CRELD2,KLF12,FSD1
4838,BFSP2,UBTD2,NIPSNAP3B,TLDC2,GSTO1,RP11-6J24.6,PRKRIP1,LPHN1
4839,KIF23,GSAP,TNPO1,POLA1,RP11-442H21.2,CCDC50,GRAMD1B,MYLK-AS1
4840,FXYD6,GGT7,CDK13,HIST2H2AB,ZNF501,GPD2,ABCB10,RP11-545I5.3
4841,ZMIZ1,AC024592.12,CTD-2366F13.1,CCDC25,CENPH,NUP205,ZNF781,LEKR1
4842,CHST14,PRR5L,DTD2,FAM211A,VPS25,CD200R1,NDUFB3,ZNF35
4843,SAP30L,CYB561D1,LGALS9B,AC073115.7,RN7SL832P,HSPA1B,CEP250,APOOL
4844,OSBPL5,SERP1,LMOD3,PODN,RP5-1065J22.8,BEND5,ZC3H3,CRYBG3-1
4845,OOEP,ATG7,C12orf49,SPTY2D1,AC009065.1,SALL2,SH3BP5-AS1,DBNDD1
4846,C2ORF15,SAE1,CXorf21,BAG3,ATP6V1C2,CCDC65,ANKRD27,RNASE1
4847,TATDN3,LINC00865,LINC00526,UBA7,R3HDM2,IFT57,ANK3,TSPAN7
4848,C1orf172,INTS12,RP1-102H19.8,QSOX1,SLC45A4,LATS2-AS1,LMNB2,ANGPTL6
4849,PNRC1,KCNE1L,ARHGAP42,CASP6,EIF2B5,HIST3H2A,RP11-142C4.6,DMKN
4850,DOCK5,AC009065.1,SRP68,FOXP4,BMI1,RP11-345P4.9,ZNF780B,CTD-2035E11.4
4851,ZBED6CL,PTK2,OPA1,C7orf55-LUC7L2,ADAT1,GEMIN6,C12orf4,AC093495.4
4852,RP11-782C8.1,POMK,RP11-145M9.4,HSPD1,MTX2,DLGAP1-AS2,FAM129C,LINC00843
4853,RP11-820I16.4,COX15,ASB7,APOBEC3B,PHF8,SLC22A4,C1orf159,FOCAD
4854,RP11-869B15.1,RP5-864K19.4,SGOL1,RP11-326C3.12,CNNM3,TTC21B,ICAM1,EPB41L5
4855,NEFH,PPFIBP2,RP11-876N24.2,CDCA7,JMJD6,GCSH,AC009506.1,METTL20
4856,MAP3K5,SDHAF1,AP4S1,PHKB,AAMDC,PRIMPOL,MMP23B,ZNF530
4857,CASP6,GNAQ,RP11-420G6.4,LL21NC02-1C16.2,GCNT1,PRKD2,GMEB2,FZD2
4858,AC074289.1,KIFC1,PKD1,ZBTB37,RP11-936I5.1,PARPBP,ABCA5,LUCAT1
4859,FZD1,LINC00886,RFX2,MKLN1,ZFX,POC5,CTD-2319I12.2,CIB2
4860,MTMR1,VAV2,CDYL,TP73-AS1,KCNMB3,USP39,TM7SF3,STS
4861,CDK20,IL15RA,TACR2,CNRIP1,ZNF419,HDAC8,TMEM79,LL22NC03-75H12.2
4862,RP6-206I17.2,ZCCHC11,MITD1,PRKAB2,DND1,RP1-29C18.10,C5orf51,FAM179A
4863,NRBP2,PGM1,NFKB1,RANGAP1,RGP1,EGFL7,PIGL,ZNF213
4864,REXO1,POLR1B,SLC9A1,BMF,RP11-490M8.1,DNAJC5B,MMP25,RP11-141B14.1
4865,MED27,PLEKHM3,AP5S1,OGFR,DUSP16,RP11-259K5.2,UBE3D,C12orf61
4866,ZRANB2,ZNF391,TCTN2,FGF9,PKD2L1,C1orf101,ELP3,LGALS9C
4867,RP11-78A19.3,OPLAH,NANP,ACVR1,TTC32,UBE2V1,C9orf96,ZNF777
4868,SMARCA2,MLH1,CLIP2,NEUROD2,YARS2,RP11-95D17.1,CLEC17A,ZNF618
4869,DPEP3,UPK2,RP11-162A12.2,CTA-204B4.2,CCNA2,NCALD,TTC37,WLS
4870,ZNF425,TMEM256-PLSCR3,FAM66C,ZNF577,TUBGCP3,AC008443.1,ECHDC3,SYNM
4871,GPR82,RP11-830F9.6,C8orf58,TUBB4A,ZNF354C,MMS22L,PPARD,ZNF202
4872,LINC00528,FAM120A,ZNF528,CDKL1,ZNF287,RP11-793H13.3,ALDH1B1,PIGZ
4873,RP11-46H11.3,EAF1-AS1,AIFM2,GATC,PRKAG2,ADTRP,VSIG1,CDH1
4874,FMO5,KRT23,TTC28,SLC51A,PER3,SND1,TRIM65,CXCL9
4875,OXCT1,MED1,CAPN3,OAT,PIGF,NHLRC2,TMEM53,KIAA0753
4876,RHEBL1,CHAF1B,NAPB,TMEM63A,RP11-456D7.1,COL9A3,SSH3,KLHL3
4877,CSF2RB,APBB1IP,TMEM131,P2RY2,CCAR2,LRG1,UBE3B,LINC01023
4878,RP11-314N13.3,FAM21B,RECK,EBF1,CAD,RP11-286E11.1,MEX3B,ETS2
4879,FDXR,BSCL2,CD274,CTD-2541M15.4,RP11-252A24.3,RP1-265C24.8,RSBN1,ASAH2B
4880,ANKRD31,CEBPE,RP11-500C11.3,OFD1,ELAC2,C9orf169,FANCD2,LRRC46
4881,SCAMP3,ANGEL2,ABHD17B,MIR24-2,ACOX1,LRRC37B,ELF4,ZBTB5
4882,RP11-423H2.3,VSIG4,WDR83,RP11-367J11.3,CTB-32O4.2,C2ORF15,DERL2,ZNF2
4883,COMMD4,OBSCN,PIK3R2,MYO5A,CAMSAP1,SPNS3,MYEF2,RP11-420G6.4
4884,NIPSNAP3B,AC015987.2,NBPF12,ZNF354B,FABP5,SLC25A14,GPANK1,RP11-111A22.1
4885,FAF1,TRAK2,CDC27,HDAC9,TEFM,CENPK,FUCA1,GNE
4886,RHOT2,B3GNT4,ARHGEF9,AC061992.2,TNK2-AS1,ZNF490,RP11-50E11.3,ANKRD55
4887,MAN1A1,PASK,IQCG,ERH,PGGT1B,NAA35,NIPAL2,ZNF93
4888,TNPO2,RP11-876N24.4,EIF2B5,RHOD,ABCF2,C19orf44,LLGL1,RP11-192H23.4
4889,RP11-533E19.5,GGA3,RP11-867G23.8,TCAIM,H2AFZ,PTPN13,ARHGAP5,PLEKHA7
4890,TPST1,PLLP,TOMM5,DENND6B,ICA1L,TMEM39B,SPATA24,RP11-17M16.1
4891,ENO1-AS1,MRPL35,FITM1,UFSP1,BSCL2,HIST1H4H,PARP2,EEF2K
4892,BAIAP2,RIOK1,NFYA,IL24,EIF3M,TULP4,GTPBP10,SPERT
4893,IFT140,GPALPP1,SUFU,C19orf10,DGKZ,TMEM143,FDXACB1,AC093388.3
4894,U47924.30,ZNF587B,ZNF333,DPH6,C17orf72,CTB-114C7.4,ERO1LB,HGF
4895,TMEM168,SLX4IP,ARL17A,SUB1,RP11-383C5.4,HLTF,PIK3CA,AC142528.1
4896,FICD,CKMT2-AS1,CR1,NMNAT1,MDM4,ADPRHL2,TMEM154,FAM13A-AS1
4897,SRBD1,RP11-356C4.3,NMB,DNAJB5,IGF2R,FADD,RHEB,HACE1
4898,KRTAP5-AS1,HIST3H2A,PTPLAD1,RP11-135A24.4,ZNF578,WRAP53,LINC00937,PPM1J
4899,TUBG1,COBLL1,STARD8,MTSS1,GABPB1,LRRK1,FNIP1,ZNF275
4900,SLC23A3,PCNXL3,PALB2,DLEU1,HLA-DOB,GALNT6,ZNF777,TEC
4901,ITGAV,RNF212,ZNF468,LENG9,TAMM41,ATXN10,GIT2,PMP22
4902,TRIO,SMARCE1,RP11-178G16.4,C15orf61,LCMT2,RP11-730K11.1,GOLGA7,ZNF512B
4903,SUMO4,RP11-407N17.5,GATS,TRAPPC2P1,TMEM65,SPRED1,PKP4,CCNE2
4904,ACTR3C,COG7,ITGAE,ZBTB3,TRPV3,RAP2A,RP11-463J10.3,RP4-594I10.3
4905,B4GALT3,LRRC37A2,RP11-483I13.5,SSX2IP,C3orf17,ZFP90,RP3-402G11.25,ZFPM1
4906,FAM47E-STBD1-1,METTL25,MAML2,SF3B2,CYTH4,KCNH8,MCOLN1,CCL4L2
4907,NUDT11,CTD-2196E14.4,EXOSC7,AP000350.4,POLR3A,RP13-188A5.1,CCT6A,SPIN3
4908,PLCH2,C19orf35,CTD-2410N18.3,ZC3HC1,PARS2,STX18-AS1,IRAK1BP1,RP1-28O10.1
4909,XKR6,NPTN,CPNE1,GNG5P2,PALLD,ATF7IP2,NGRN,CCDC122
4910,ANKRD23,C1orf233,AC068580.6,UBR5,GSDMB,AKTIP,NAT10,CACNA1A
4911,KCNK12,DNM3,AC145110.1,CSNK2A3,FAM86C1,USP48,C11orf71,RP5-1125A11.1
4912,ARHGEF18,RNF219-AS1,P2RY14,UNK,NHSL1,NMRK1,FIGNL1,RP11-434C1.1
4913,FAM3B,PIGS,SPDL1,RAB22A,IMPA1,CTB-58E17.1,TFCP2,CLEC17A
4914,SENP1,PTPN9,GRASP,CECR1,TBC1D13,CCDC142,CLN3-1,RP5-943J3.2
4915,ZNF772,GPAM,ZNF317,STON1,PRTFDC1,NT5E,DNMT3A,ARMCX6
4916,PBX3,HOXB2,HYOU1,NLRX1,LRRC29,RP11-124N14.3,PIGW,GPRC5C
4917,LILRB1,MBD1,IFT74,PIFO,TAP1,ZBTB11,CEP85,KIAA1671
4918,RP11-573D15.9,MCM6,BSPRY,ZNF70,DPH7,TMEM169,UMPS,IRAK1BP1
4919,GNA13,STMN3,CXorf40B,RP3-510H16.3,ADAL,CACFD1,FOXK2,ARL5B-AS1
4920,IL1RN,CDC14A,CHD4,FBXW9,B3GALT6,RP5-1028K7.2,RP11-452L6.5,TMC4
4921,SKI,ZMYM4,PBX3,RP11-85F14.5,GALNT10,P4HTM,WIPF2,USP35
4922,SGSM1,CCDC43,SNED1,AC023490.1,RAD17,PRICKLE1,SIRT5,EPHX1
4923,MCU,CTA-14H9.5,RP5-1159O4.1,NOMO1,IPP,PACSIN1,RWDD4,UGGT2
4924,PLEKHA4,RP11-423O2.5,AC007383.3,NUP133,GBA,SMYD4,ZFP82,AC021188.4
4925,PDZK1IP1,MTSS1L,TNRC6B,FAM13B,C10orf91,SAP130,C6orf120,SLC25A15
4926,MSANTD3,CLOCK,ARRDC3,CPVL,C5orf66,NSUN3,RRM2B,ZNF717
4927,ABAT,CACFD1,RP11-395A13.2,ODF3B,NUDT17,TNFRSF8,ARFGAP2,SFXN2
4928,CROT,CYSLTR1,BMP1,COX10,C19orf40,SMN2,RNF103,CACNA2D2
4929,TPT1-AS1,SERPINB2,TMEM64,FKBP2,TWSG1,HEG1,IRAK1,C9orf169
4930,PARP16,RP11-325F22.2,RP3-465N24.6,MTERF,HIST1H2AG,ABHD10,CCDC134,RP11-154J22.1
4931,RP11-589C21.5,GNB2,GK,AC016586.1,MRPL43,OXR1,DCAF15,EARS2
4932,AP2A1,RP11-58B17.2,ZNF48,AC007880.1,RPN2,SCARF1,RHBDF2,RCN3
4933,TMEM138,SETDB2,ATXN2,AP4E1,CTD-2555O16.4,RPL36,IK,NTNG2
4934,SIGLEC1,PRMT7,RCOR1,TMED8,EFR3A,EPB41L3,CHD8,QSER1
4935,PRKAG1,CCDC6,RAB10,YY1AP1,ZNF773,SLC2A4RG,LINC00426,DEPDC5
4936,PTAFR,C11orf49,LTBR,GTSE1,TGFBI,AC020571.3,TEFM,ZNF28
4937,GAREML,TMEM117,GINS4,AC137932.1,C11orf74,RP11-536C5.7,MCCC2,SMG8
4938,INTS7,TCEAL4,ABCF2,TIMM10B,RP11-298J20.3,VPS4B,SP4,AC061992.2
4939,NUGGC,GMEB2,TRIM52-AS1,UCHL3,SLC5A6,FOXP4,MTFR1,USP31
4940,ADAMTS10,FAM20B,FRS2,PPP1CC,CAMTA2,RAP2C-AS1,RP11-390E23.6,AF213884.2
4941,AURKB,LOXL3,TMEM159,DARS2,FLVCR1-AS1,LIN54,CPSF7,PDK4
4942,CTD-2037K23.2,CABLES1,C3orf14,RPGRIP1L,SLC18B1,PGAM5,SLC35F2,COL19A1
4943,RAD54B,TRAPPC9,RP11-385F7.1,SENP2,TSPAN18,WDR3,HILPDA,RP11-214O1.3
4944,RGS12,PDGFB,ZNF701,GRPEL2,CLEC11A,BOLA2B,SHQ1,PEX11G
4945,VPS8,TRAPPC2L,TRBV11-2,PRTFDC1,C1QA,GADD45GIP1,VWA9,MAP4K3
4946,AC005306.3,TNFSF14,BMF,CEP192,KANSL1-AS1,ZC4H2,MCTP1,ROM1
4947,NUDT12,RP11-307C12.13,KLHL20,ZNF45,ETV3,GAN,ARMC2,PHOSPHO2
4948,ARMCX1,PPP4R2,ZNF407,RP11-56G10.2,AC012358.8,ECI1,SNRNP35,ZNF860
4949,RP11-350G8.5,CTD-2007H13.3,C5,ADSSL1,TRAPPC3,METTL7A,LINC00672,SUSD4
4950,PDPR,RPH3A,AC007228.9,RP13-516M14.4,NAIP,AURKAIP1,IFIH1,SIRPD
4951,CD163,SIGLEC1,PNRC2-1,C17orf70,AC002310.12,PLB1,SERPINH1,SHROOM1
4952,RP11-138A9.1,SEPT4,TMEM184B,ASB2,TAGLN2,IL24,CLPX,DOCK3
4953,RPPH1,SPR,RP11-830F9.6,ITGB3BP,ATF7IP2,FAM135A,MPV17,VENTX
4954,XRCC3,HEBP2,SMTN,RP11-162A12.2,NR3C1,AC022400.2,PANX1,BAIAP3
4955,ZNF43,SKI,NQO1,RP11-395B7.4,PAPD4,RAD54B,ATP7A,ZNF337-AS1
4956,RP11-440L14.1,CXCR6,SH2B3,KIF13A,MBIP,BLZF1,RUFY2,RP5-1148A21.3
4957,MMP28,ZNF384,ANKIB1,SPATA6,PSMC6,SLC35D2,SMURF1,ATP5A1
4958,ZNF365,GALNT12,C9orf40,TREML1,PNRC2-1,BANK1,PSMC1,PAPD7
4959,SLFN12,CENPL,CDK11B,RP11-362F19.1,RP11-793H13.11,ZNF252P-AS1,ACD,AC116366.6
4960,AC093388.3,RP11-1114A5.4,FAM161B,PDZD7,CMIP,ZFAND4,CRAMP1L,SULT1B1
4961,WDR35,PLOD3,CNNM2,ZNF669,DIAPH2,PAWR,NDUFS2,PLS3
4962,NUP133,AC021860.1,GPX7,KIF2C,ZXDA,ELL2,CTSK,RP11-466F5.8
4963,CEP85L,NHLRC1,RP11-216B9.6,TRIP12,SGK3,RP11-803B1.8,AGFG1,RP11-434H6.6
4964,CLEC16A,GBA,FANCC,PIM3,CARHSP1,PDP1,RP11-152N13.5,AD000090.2
4965,GIPR,RP3-465N24.6,TYK2,PPP2R5B,TRAFD1,ZSCAN21,FEM1B,GPX3
4966,AIMP1,IL11RA,VPS28,SUMO3,E2F1,USP11,ATP13A2,MCF2L-AS1
4967,INTS4,AC013264.2,TRIM60,NDOR1,ATL2,TSPYL1,ATG9A,MBLAC1
4968,RPS2,PAOX,CUTC,FOXP1,SDCCAG3,TRAPPC4,C1orf233,XXbac-B135H6.18
4969,E2F1,KLHL3,FLCN,KIFC1,FAM105B,ATP8B2,AC023590.1,PHLPP2
4970,CCNJ,NLRP2,CDC14B,RP11-277P12.20,RP11-398K22.12,LMBRD2,UEVLD,RP1-43E13.2
4971,MAP3K7,BRSK1,ZNF621,KIAA1377,DDIT3,AC097500.2,PDCD4,GK5
4972,RP11-802E16.3,NFE2L1,RP11-108P20.1,TLR2,APPL2,TUBA1A,LINC00987,COL9A3
4973,RP11-292F22.7,AP003774.4,STAB1,RBM47,C19orf47,ANK3,PHF21A,ASTN2
4974,MB21D1,FAM107B,RP11-385F5.5,NPIPB4,RP11-73O6.3,DOCK5,MRPL1,KRBA2
4975,TAB1,TMEM241,DICER1-AS1,KRBA2,TSPAN31,RP5-1074L1.4,LIAS,SIRT4
4976,MYO16,TIMM23,RP11-815J21.2,GS1-124K5.11,LATS2,SLC6A16,ERC1,ABCB9
4977,BCO2,SLC37A3,ZNF107,AC109826.1,ETV6,OFD1,TOR4A,RP11-803B1.8
4978,RQCD1,ATP8B3,PAPOLG,RP11-566K11.5,AC074117.10,RP5-1125A11.1,RPGR,SSPN
4979,RP5-884G6.2,BIK,FAM193A,OSBPL7,ATG14,ZNF623,DHX32,RP11-6J24.6
4980,FMNL3,KRTCAP2,NEXN,PDGFB,C14orf142,RBP7,CAB39,PIK3R3
4981,C16orf58,LRRC20,RP13-580F15.2,PARG,ZNF18,ZNF852,TMEM183A,C21orf58
4982,HMGB3,UTP6,ERCC6,RP11-102N12.3,ENTPD1,WDR75,SLC9A7,ZNF175
4983,GNMT,KHK,CTD-2267D19.2,CYSLTR2,LGALS9,RPIA,KLHL15,RP11-282O18.3
4984,RP11-977G19.11,ZC3H18,FAM185A,MYH10,WDR66,ATP6V0A2,TMEM86B,CCDC138
